,object,animal,datetime
0,session,-,2025-04-04 11:25:29.105
1,innerIR,-,2025-04-04 11:27:54.905
2,outerIR,-,2025-04-04 11:27:55.129
3,innerIR,-,2025-04-04 11:27:58.353
4,innerIR,-,2025-04-04 11:28:14.009
5,innerIR,-,2025-04-04 11:28:15.236
6,outerIR,-,2025-04-04 11:28:15.704
7,outerIR,-,2025-04-04 11:28:21.933
8,outerIR,-,2025-04-04 11:28:30.173
9,innerIR,-,2025-04-04 11:28:30.401
10,innerIR,-,2025-04-04 11:28:31.116
11,rfid,-,2025-04-04 11:28:36.926
12,rfid,-,2025-04-04 11:28:39.451
13,outerIR,-,2025-04-04 11:28:42.655
14,innerIR,-,2025-04-04 11:28:42.780
15,innerIR,-,2025-04-04 11:28:44.799
16,rfid,-,2025-04-04 11:28:46.404
17,innerIR,-,2025-04-04 11:28:47.728
18,innerIR,-,2025-04-04 11:28:48.045
19,rfid,-,2025-04-04 11:28:48.126
20,rfid,-,2025-04-04 11:28:48.596
21,session,-,2025-04-04 11:29:01.387
22,outerIR,-,2025-04-04 11:29:01.403
23,innerIR,-,2025-04-04 11:29:01.516
24,innerIR,-,2025-04-04 11:29:02.732
25,innerIR,-,2025-04-04 11:29:04.650
26,session,-,2025-04-04 11:29:48.603
27,innerIR,-,2025-04-04 11:30:17.067
28,outerIR,-,2025-04-04 11:30:17.605
29,rfid,lemon,2025-04-04 11:30:17.863
30,rfid,lemon,2025-04-04 11:30:17.989
31,rfid,lemon,2025-04-04 11:30:18.109
32,outerIR,-,2025-04-04 11:30:48.478
33,innerIR,-,2025-04-04 11:30:53.323
34,innerIR,-,2025-04-04 11:30:54.745
35,innerIR,-,2025-04-04 11:30:55.268
36,outerIR,-,2025-04-04 11:31:05.503
37,outerIR,-,2025-04-04 11:31:09.633
38,innerIR,-,2025-04-04 11:31:09.934
39,rfid,lemon,2025-04-04 11:31:10.161
40,innerIR,-,2025-04-04 11:31:32.099
41,outerIR,-,2025-04-04 11:31:32.346
42,innerIR,-,2025-04-04 11:31:54.702
43,outerIR,-,2025-04-04 11:31:54.827
44,outerIR,-,2025-04-04 11:31:56.944
45,rfid,wolverine,2025-04-04 11:31:57.454
46,innerIR,-,2025-04-04 11:31:57.466
47,rfid,wolverine,2025-04-04 11:31:57.570
48,rfid,wolverine,2025-04-04 11:31:57.691
49,rfid,wolverine,2025-04-04 11:31:57.909
50,rfid,wolverine,2025-04-04 11:31:58.027
51,rfid,wolverine,2025-04-04 11:31:58.150
52,rfid,wolverine,2025-04-04 11:31:58.270
53,rfid,wolverine,2025-04-04 11:31:58.389
54,rfid,wolverine,2025-04-04 11:31:58.511
55,rfid,wolverine,2025-04-04 11:31:58.630
56,rfid,wolverine,2025-04-04 11:31:58.745
57,rfid,wolverine,2025-04-04 11:31:58.864
58,rfid,wolverine,2025-04-04 11:31:58.984
59,rfid,wolverine,2025-04-04 11:31:59.101
60,rfid,wolverine,2025-04-04 11:31:59.223
61,rfid,wolverine,2025-04-04 11:31:59.339
62,innerIR,-,2025-04-04 11:31:59.791
63,outerIR,-,2025-04-04 11:32:10.524
64,innerIR,-,2025-04-04 11:32:18.562
65,innerIR,-,2025-04-04 11:32:23.443
66,innerIR,-,2025-04-04 11:32:25.951
67,outerIR,-,2025-04-04 11:32:26.405
68,outerIR,-,2025-04-04 11:32:30.727
69,rfid,wolverine,2025-04-04 11:32:31.202
70,innerIR,-,2025-04-04 11:32:31.220
71,innerIR,-,2025-04-04 11:32:47.365
72,outerIR,-,2025-04-04 11:32:47.608
73,rfid,lemon,2025-04-04 11:32:47.745
74,outerIR,-,2025-04-04 11:32:51.128
75,outerIR,-,2025-04-04 11:32:53.503
76,innerIR,-,2025-04-04 11:32:53.650
77,rfid,lychee,2025-04-04 11:32:53.681
78,innerIR,-,2025-04-04 11:32:56.669
79,outerIR,-,2025-04-04 11:32:56.889
80,rfid,lychee,2025-04-04 11:32:56.906
81,rfid,lychee,2025-04-04 11:32:57.031
82,innerIR,-,2025-04-04 11:32:57.203
83,innerIR,-,2025-04-04 11:33:12.850
84,outerIR,-,2025-04-04 11:33:13.107
85,rfid,wolverine,2025-04-04 11:33:13.272
86,outerIR,-,2025-04-04 11:33:14.524
87,outerIR,-,2025-04-04 11:33:15.742
88,innerIR,-,2025-04-04 11:33:16.064
89,innerIR,-,2025-04-04 11:33:19.085
90,outerIR,-,2025-04-04 11:33:19.303
91,rfid,lychee,2025-04-04 11:33:19.323
92,rfid,lychee,2025-04-04 11:33:20.849
93,rfid,lychee,2025-04-04 11:33:20.971
94,rfid,lychee,2025-04-04 11:33:21.094
95,rfid,lychee,2025-04-04 11:33:21.211
96,outerIR,-,2025-04-04 11:33:27.933
97,innerIR,-,2025-04-04 11:33:30.168
98,outerIR,-,2025-04-04 11:33:30.890
99,innerIR,-,2025-04-04 11:33:31.004
100,innerIR,-,2025-04-04 11:33:59.483
101,outerIR,-,2025-04-04 11:33:59.703
102,rfid,lychee,2025-04-04 11:33:59.788
103,innerIR,-,2025-04-04 11:34:00.217
104,outerIR,-,2025-04-04 11:34:03.039
105,innerIR,-,2025-04-04 11:34:03.760
